code,title,Level
332431,Metal Can Manufacturing,6
332439,Other Metal Container Manufacturing,6
332510,Hardware Manufacturing,6
332613,Spring Manufacturing,6
332618,Other Fabricated Wire Product Manufacturing,6
332710,Machine Shops,6
332721,Precision Turned Product Manufacturing,6
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",6
332811,Metal Heat Treating,6
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",6
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",6
332911,Industrial Valve Manufacturing,6
332912,Fluid Power Valve and Hose Fitting Manufacturing,6
332913,Plumbing Fixture Fitting and Trim Manufacturing,6
332919,Other Metal Valve and Pipe Fitting Manufacturing,6
332991,Ball and Roller Bearing Manufacturing,6
332992,Small Arms Ammunition Manufacturing,6
332993,Ammunition (except Small Arms) Manufacturing,6
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",6
332996,Fabricated Pipe and Pipe Fitting Manufacturing,6
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,6
333111,Farm Machinery and Equipment Manufacturing,6
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,6
333120,Construction Machinery Manufacturing,6
333131,Mining Machinery and Equipment Manufacturing,6
333132,Oil and Gas Field Machinery and Equipment Manufacturing,6
333241,Food Product Machinery Manufacturing,6
333242,Semiconductor Machinery Manufacturing,6
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",6
333248,All Other Industrial Machinery Manufacturing,6
333310,Commercial and Service Industry Machinery Manufacturing,6
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,6
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,6
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,6
333511,Industrial Mold Manufacturing,6
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",6
333515,Cutting Tool and Machine Tool Accessory Manufacturing,6
333517,Machine Tool Manufacturing,6
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,6
333611,Turbine and Turbine Generator Set Units Manufacturing,6
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",6
333613,Mechanical Power Transmission Equipment Manufacturing,6
333618,Other Engine Equipment Manufacturing,6
333912,Air and Gas Compressor Manufacturing,6
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",6
333921,Elevator and Moving Stairway Manufacturing,6
333922,Conveyor and Conveying Equipment Manufacturing,6
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",6
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",6
333991,Power-Driven Handtool Manufacturing,6
333992,Welding and Soldering Equipment Manufacturing,6
333993,Packaging Machinery Manufacturing,6
333994,Industrial Process Furnace and Oven Manufacturing,6
333995,Fluid Power Cylinder and Actuator Manufacturing,6
333996,Fluid Power Pump and Motor Manufacturing,6
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,6
334111,Electronic Computer Manufacturing,6
334112,Computer Storage Device Manufacturing,6
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,6
334210,Telephone Apparatus Manufacturing,6
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,6
334290,Other Communications Equipment Manufacturing,6
334310,Audio and Video Equipment Manufacturing,6
334412,Bare Printed Circuit Board Manufacturing,6
334413,Semiconductor and Related Device Manufacturing,6
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",6
334417,Electronic Connector Manufacturing,6
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,6
334419,Other Electronic Component Manufacturing,6
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,6
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",6
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",6
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",6
334514,Totalizing Fluid Meter and Counting Device Manufacturing,6
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,6
334516,Analytical Laboratory Instrument Manufacturing,6
334517,Irradiation Apparatus Manufacturing,6
334519,Other Measuring and Controlling Device Manufacturing,6
334610,Manufacturing and Reproducing Magnetic and Optical Media,6
335131,Residential Electric Lighting Fixture Manufacturing,6
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",6
335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing,6
335210,Small Electrical Appliance Manufacturing,6
335220,Major Household Appliance Manufacturing,6
